SubOrgID	Naam	OrgID	ChangeDate	Centrum	Gebruiker
827	Provinciaal Veiligheidscomité	527	2010-02-19 18:47:06	VAD	VADMCL
828	Medische dienst	1396	2010-02-19 19:11:44	VAD	VADMCL
829	Interne Dienst Preventie en Bescherming	1398	2010-02-20 20:56:53	VAD	VADMCL
830	Nationaal Opleidingscentrum	1400	2010-02-20 21:22:51	VAD	VADMCL
831	AD Humanisering van de Arbeid	1400	2010-02-20 21:24:12	VAD	VADMCL
832	OPH Oost-Vlaanderen - Coördinatiecomité	1401	2010-02-20 21:39:30	VAD	VADMCL
833	Provinciaal Comité Bevordering van de Arbeid	35	2010-02-20 21:50:22	VAD	VADMCL
834	Personeelsdienst	800	2010-02-20 22:01:06	VAD	VADMCL
835	Provinciaal Comité Bevordering van de Arbeid	984	2010-02-20 22:06:46	VAD	VADMCL
836	IPV Vormingsinstituut voedingsindustrie	1402	2010-02-20 22:16:20	VAD	VADMCL
837	AGORIA Oost- en West-Vlaanderen	1404	2010-02-20 22:33:31	VAD	VADMCL
838	AGORIA Brabant	1404	2010-02-20 22:33:44	VAD	VADMCL
839	AGORIA Antwerpen en Limburg	1404	2010-02-20 22:34:05	VAD	VADMCL
840	CCOAB Centrum Ondz.&Opleiding Arbeidsbetrekkingen	1406	2010-02-21 12:17:18	VAD	VADMCL
841	Preventie 	61	2010-02-21 13:46:38	VAD	VADMCL
842	Interne Dienst Preventie en Bescherming	1409	2010-02-21 14:10:38	VAD	VADMCL
843	Personeel en Logistiek	1413	2010-02-21 23:17:12	VAD	VADMCL
844	Agentschap voor Onderwijscommunicatie - Klasse	1417	2010-02-23 10:17:58	VAD	VADMCL
845	PreNNe	1418	2010-02-23 10:35:15	VAD	VADMCL
846	Spoor 21	1423	2010-02-23 18:14:12	VAD	VADMCL
847	Health and Safety	1425	2010-02-23 19:16:55	VAD	VADMCL
848	Afdeling Riscobeheersing	1427	2010-02-23 19:23:49	VAD	VADMCL
849	Interne Dienst Preventie en Bescherming	1437	2010-02-24 14:07:55	VAD	VADMCL
850	Dept. Economie en Management	1438	2010-02-24 14:24:09	VAD	VADMCL
851	web TV	1445	2010-02-24 14:50:13	VAD	VADMCL
852	Interne Dienst Preventie en Bescherming	1467	2010-02-26 12:02:56	VAD	VADMCL
853	Interne Dienst Preventie en Bescherming	1469	2010-02-26 15:34:09	VAD	VADMCL
854	Buitenschoolse kinderopvang Hib-Hop	747	2010-03-05 09:58:30	LEU	LEUJBO
855	Leerwerkbedrijf	1474	2010-03-09 10:31:28	VAD	VADMCL
856	Personeelsdienst	1486	2010-03-12 12:11:22	VAD	VADMCL
857	Gemeenschappelijke interne preventiedienst	956	2010-03-22 14:44:32	VAD	VADMCL
858	Human Resources	1490	2010-03-22 15:47:17	VAD	VADMCL
859	IDPB	1492	2010-03-25 13:39:25	VAD	VADMCL
